word	definition	label
24	the cardinal number that is the sum of twenty-three and one	1
101	occurring or existing after a war	0
1000th	a lesson in playing the piano	0
10	a commissioned officer assigned to a military commander's staff	0
101st	the ordinal number of one hundred one in counting order	1
140	designed for low-income consumers	0
.22-caliber	a light folding chair	0
200th	the ordinal number of two hundred in counting order	1
16th	foreordain by divine will or decree	0
120th	divide into syllables	0
145th	the ordinal number of one hundred forty-five in counting order	1
.38-caliber	of or relating to the bore of a gun (or its ammunition) that measures thirty-eight hundredths of an inch in diameter	1
27th	coming next after the twenty-sixth in position	1
19th	coming next after the eighteenth in position	1
145th	a state of surviving; remaining alive	0
15th	coming next after the fourteenth and just before the sixteenth in position	1
27th	rich soft creamy French cheese	0
18	put on special clothes to appear particularly appealing and attractive	0
15th	the act of constructing something	0
115th	a school for training nurses	0
150	being ten more than one hundred forty	1
26th	a glove worn by golfers to give a firm grip on the handle of the golf club	0
26th	a soft quilt usually filled with the down of the eider	0
20th	one of two veins draining the larynx	0
145	being five more than one hundred forty	1
18	a vertical fold of skin over the nasal canthus; normal for Mongolian peoples; sometimes occurs in Down's syndrome	0
27th	North American nightshade with prickly foliage and racemose yellow flowers	0
140th	the first of two or the first mentioned of two	0
25th	a special law-enforcement agent of the United States Treasury	0
1000th	an antiviral drug used to combat HIV infection	0
27	a state of partial or total darkness	0
16	emphasize by putting heavy stress on or by moving to the front of the sentence	0
150th	a conversation between two persons	0
200	the substance of a living cell (including cytoplasm and nucleus)	0
.22 calibre	cause of tuberculosis	0
.45-calibre	insectivorous mouse of western North America	0
180	very large powerful rough-coated dog native to central Asia	0
170	being ten more than one hundred sixty	1
21st	French romantic writer (1766-1817)	0
29th	coming next after the twenty-eighth in position	1
180	being ten more than one hundred seventy	1
20th	the feeling of being alienated from other people	0
28	the cardinal number that is the sum of twenty-seven and one	1
.22-calibre	Roman general under Julius Caesar in the Gallic wars; repudiated his wife for the Egyptian queen Cleopatra; they were defeated by Octavian at Actium (83-30 BC)	0
25th	a person who makes a promise	0
115	a protective pad over a mattress to protect it	0
11	a northern arm of the Baltic Sea; between Sweden and Finland	0
110	a unit of measurement of magnetomotive force	0
16	(American football) a play that involves one player throwing the ball to a teammate	0
.45-caliber	of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter	1
13th	a synthetic progestational hormone (trade name Norlutin) used in oral contraceptives and to treat endometriosis	0
12	soft decayed area in a tooth; progressive decay can lead to the death of a tooth	0
.38 caliber	having the brown color of rust	0
18	the cardinal number that is the sum of seventeen and one	1
29th	a social and political problem caused by conflict between races occupying the same or adjacent regions	0
23	hairy Eurasian herb with two-lipped white flowers	0
2	the cardinal number that is the sum of one and one or a numeral representing this number	1
180th	United States pianist and composer of operas and musical plays (1905-1964)	0
155	dioecious evergreen trees or shrubs; equatorial to southern and southeastern Africa: yellowwood; similar to trees or genus Podocarpus	0
21	genus of monocotyledonous plants with curious woolly flowers on sturdy stems above a fan of sword-shaped leaves; includes kangaroo's paw and Australian sword lily; sometimes placed in family Amaryllidaceae	0
1	the smallest whole number or a numeral representing this number	1
110	(pathology) an elevation of the skin filled with serous fluid	0
21st	a North American jay	0
14	a Buddhist who has attained nirvana	0
14	European poisonous herb with fibrous roots	0
10	common Eurasian curlew	0
.45-calibre	of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter	1
.45 caliber	interface consisting of a standard port between a computer and its peripherals that is used in some computers	0
130th	a sequence of drawings telling a story in a newspaper or comic book	0
13	a building that houses administrative offices of a municipal government	0
13	the cardinal number that is the sum of twelve and one	1
13th	any of numerous orchids of the genus Masdevallia; tufted evergreen often diminutive plants whose flowers in a remarkable range of colors usually resemble a tricorn with sepals fused at the base to form a tube	0
26th	make too low an estimate of	0
200th	a quick-drying resilient synthetic fiber consisting primarily of polyester	0
170	United States novelist who wrote about a young Black man and his struggles in American society (1914-1994)	0
29th	a strait in northern Wales between Anglesey Island and the mainland	0
26th	coming next after the twenty-fifth in position	1
175th	the ordinal number of one hundred seventy-five in counting order	1
15	small plants that resemble amaryllis and that grow from a corm and bear flowers on a leafless stalk; sometimes classified as member of the family Amaryllidaceae: star grass	0
.38 caliber	without the use of a machine	0
14th	the typical Old World quail	0
115th	the ordinal number of one hundred fifteen in counting order	1
125th	a turkey-sized long-legged fossil 75 million years old found in the Gobi Desert having bird-like fused wrist bones and keeled breastbone and a long tail resembling a dinosaur's; short forelimbs end in a single claw instead of wings; classification as bird or dinosaur is in dispute	0
.45 calibre	of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter	1
0	a mathematical element that when added to another number yields the same number	1
13	a volcano in central Honshu near Nagano; one of the largest volcanoes in Japan (8,340 feet)	0
28th	something that bulges out or is protuberant or projects from its surroundings	0
.22-caliber	make (continental) European in customs, character, or ideas	0
11th	coming next after the tenth and just before the twelfth in position	1
25th	a Turk (especially a Turk who is a member of the tribe of Osman I)	0
160	an object that emits or reflects light in an intermittent flickering manner	0
1st	annual of Mediterranean to Portugal having hairy stems and minutely spiny-toothed leaves and large heads of yellow flowers	0
20	the cardinal number that is the sum of nineteen and one	1
125	United States theoretical physicist (born in 1933)	0
105	(legend) chalice used by Christ at the Last Supper	0
180	oil from olives	0
.38 calibre	a small lake	0
25	a small sebaceous cyst of the eyelid resulting when a Meibomian gland is blocked	0
.22-calibre	a composer of words or music for popular songs	0
29	the ordinal number of one hundred twenty in counting order	0
190	tansy-scented Eurasian perennial herb with buttonlike yellow flowers; used as potherb or salad green and sometimes for potpourri or tea or flavoring; sometimes placed in genus Chrysanthemum	0
110th	the production of malt beverages (as beer or ale) from malt and hops by grinding and boiling them and fermenting the result with yeast	0
120	a party favor consisting of a paper roll (usually containing candy or a small favor) that pops when pulled at both ends	0
22nd	not to be accounted for or explained	0
24th	coming next after the twenty-third in position	1
160	a residential area outside of a city and beyond suburbia	0
150	where the air is unconfined	0
140th	(golf) the head of the club which strikes the ball	0
101st	the basic unit of money in Bangladesh; equal to 100 paisa	0
.45 caliber	(Islam) a legal opinion or ruling issued by an Islamic scholar	0
26	a genus of Haemulidae	0
24th	a process that uses heat to separate a substance into its components	0
.22-caliber	black-and-white northern Atlantic auk having a compressed sharp-edged bill	0
.22 caliber	being satisfactory or in satisfactory condition	0
24th	the people of Great Britain	0
120th	the ordinal number of one hundred twenty in counting order	1
21st	the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham's family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son	0
11th	a genus of bristly herbs and shrubs of the family Boraginaceae	0
29	the cardinal number that is the sum of twenty-eight and one	1
.45 caliber	of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter	1
135	being five more than one hundred thirty	1
165	being five more than one hundred sixty	1
110th	a most common shark in temperate and tropical coastal waters worldwide; heavy-bodied and dangerous	0
101st	cymbals that are operated by a foot pedal	0
130	a German machine gun	0
14	strictly parasitic protozoans that are usually immobile; includes plasmodia and coccidia and piroplasms and malaria parasites	0
19th	to develop or shoot forth	0
19	marked by a rhythmical cadence	0
145	United States comedian and actor in silent films noted for his acrobatic skills and deadpan face (1895-1966)	0
24	perennial grass having stems 3 to 4 feet high; used especially in Africa and India for pasture and hay	0
21st	coming next after the twentieth in position	1
12th	coming next after the eleventh and just before the thirteenth in position	1
1000	the cardinal number that is the product of 10 and 100	1
155	a handsaw with a narrow triangular blade for cutting curves	0
28	pope who in 1122 forced the Holy Roman Emperor Henry V to sign a concordat that recognized the right of the church to choose its own leadership (died in 1124)	0
20	a family of lichens	0
180th	be loyal to	0
115	the connections that link the various parts of an event or argument together	0
175	combine so as to form a more complex, product	0
19	shrubby tree widely distributed along tropical shores; yields a light tough wood used for canoe outriggers and a fiber used for cordage and caulk; often cultivated for ornament	0
17	fern of eastern North America with pale green fronds and an aroma like hay	0
130th	in a secretive manner; with a preference for secrecy	0
.45 calibre	any of numerous plants of the orchid family usually having flowers of unusual shapes and beautiful colors	0
130th	a system of biological taxonomy based on the quantitative analysis of comparative data and used to reconstruct cladograms summarizing the (assumed) phylogenetic relations and evolutionary history of groups of organisms	0
150th	the largest city and financial center of Israel; located in western Israel on the Mediterranean	0
.38 calibre	small genus comprising terrestrial ferns; found in Chile and Spain and Morocco and Australia and New Zealand	0
175th	minnows	0
20	a doorbell to be used at night	0
145	determine or distinguish the nature of a problem or an illness through a diagnostic analysis	0
14	the cardinal number that is the sum of thirteen and one	1
120	craniometric point that is the most anterior point in the midline on the alveolar process of the maxilla	0
100	impairment of the sense of sight	0
17	with respect to scholastic activities	0
22	the cardinal number that is the sum of twenty-one and one	1
135	of or relating to or occurring during the period just before menstruation	0
.45-caliber	East Indian tree with thick leathery leaves and edible fruit	0
140th	the ordinal number of one hundred forty in counting order	1
175	the sound made by a gentle blow	0
21	mayonnaise with tarragon or dill and chopped watercress and spinach or cucumber	0
100	a group of government agencies and organizations that carry out intelligence activities for the United States government; headed by the Director of Central Intelligence	0
160th	100 dirhams equal 1 riyal in Qatar	0
.22-caliber	of or relating to the bore of a gun (or its ammunition) that measures twenty-two hundredths of an inch in diameter	1
105th	box for collecting alms, especially one in a church	0
145	a member of the predominantly Muslim people in the southern Philippines	0
155	the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities	0
100th	the ordinal number of one hundred in counting order	1
1	often used as intensifiers	0
1000	hagfishes as distinguished from lampreys	0
.45-caliber	United States labor organizer who ran for President as a socialist (1855-1926)	0
14th	the business of providing services to tourists	0
.38-calibre	any of numerous very agile and alert New World lizards	0
29	mining valuable minerals from a placer by washing or dredging	0
11	a cell of sleepers	0
29	small tree or shrub of New Zealand having a profusion of axillary clusters of honey-scented paper-white flowers and whose bark is used for cordage	0
150th	the ordinal number of one hundred fifty in counting order	1
22	a city district of central London laid out in garden squares	0
170th	the ordinal number of one hundred seventy in counting order	1
10	within the system of ventricles in the brain	0
11	the cardinal number that is the sum of ten and one	1
100th	covered with heavy steel	0
110th	a mild seasoning made from a variety of pimiento grown in Spain	0
25	King of England from 1901 to 1910; son of Victoria and Prince Albert; famous for his elegant sporting ways (1841-1910)	0
.45-calibre	a male member of a religious order that originally relied solely on alms	0
155th	(philosophy) the philosophy of Aristotle that deals with logic and metaphysics and ethics and poetics and politics and natural science	0
.22 calibre	of or relating to the bore of a gun (or its ammunition) that measures twenty-two hundredths of an inch in diameter	1
0	someone concerned with the science or art or business of cultivating the soil	0
175	being five more than one hundred seventy	1
190	being ten more than one hundred eighty	1
160th	the ordinal number of one hundred sixty in counting order	1
10-membered	the sound made by corvine birds	0
16	enclose or enfold completely with or as if with a covering	0
.22 caliber	of or relating to the bore of a gun (or its ammunition) that measures twenty-two hundredths of an inch in diameter	1
.38-calibre	cause to move forward	0
.45 calibre	a noun that forms plurals	0
165th	a heterosexual person; someone having a sexual orientation to persons of the opposite sex	0
26	not act	0
10th	in an illegible manner	0
2-dimensional	a program written in LISP	0
.45 calibre	the first wale laid next to the keel of a wooden ship	0
.22-calibre	a small band of jazz musicians	0
17th	an apparatus that provides a source of X rays	0
29th	loss of the ability to move a body part	0
1000th	genus of Old World (mainly African) perennial herbs; sometimes placed in family Asphodelaceae	0
135th	a region marked off for administrative or other purposes	0
16th	small moth whose larvae damage stored grain and flour	0
160	(psychoanalysis) the third stage in a child's development when awareness of and manipulation of the genitals is supposed to be a primary source of pleasure	0
1st	a warmness resembling the temperature of the skin	0
165	the compass point that is one point south of southwest	0
.38-calibre	of or relating to the bore of a gun (or its ammunition) that measures thirty-eight hundredths of an inch in diameter	1
14th	coming next after the thirteenth in position	1
200th	a form of neuropathy that can begin between childhood and young adulthood; characterized by weakness and atrophy of the muscles of the hands and lower legs; progression is slow and individuals affected can have a normal life span; inheritance is X-linked recessive or X-linked dominant	0
105th	any woodland plant of the genus Anemone grown for its beautiful flowers and whorls of dissected leaves	0
10th	an engineer trained in the extraction and refining and alloying and fabrication of metals	0
28th	something that can be done	0
13th	coming next after the twelfth in position	1
175th	(ethnic slur) offensive term for persons of Latin American descent	0
12	a town in central Algeria in the Atlas Mountains	0
1	a genus of Cricetidae	0
22	the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)	0
170th	an appendage to hold onto	0
125	being five more than one hundred twenty	1
10th	ornamental tree with inedible fruits widely cultivated in many varieties for its white blossoms	0
23rd	coming next after the twenty-second in position	1
101	being one more than one hundred	1
19th	a room used for the activities of a club	0
17	a stream that forms the source of a river	0
101	Eurasian aromatic oak-leaved goosefoot with many yellow-green flowers; naturalized North America	0
13th	a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War	0
23	stop doing what one is doing	0
10-membered	with hostility; in a belligerent hostile manner	0
16th	a cape that forms the southeastern corner of the island of Sicily	0
165	a course over which races are run	0
101	the quality of excessive mournfulness and uncheerfulness	0
27	the adult male singing voice above baritone	0
18	a fighter that is difficult to detect by radar; is built for precise targeting and uses laser-guided bombs	0
170	having sagging folds of flesh beneath the chin or lower jaw	0
115	oriental moth that produces brownish silk	0
27	the cardinal number that is the sum of twenty-six and one	1
160th	kill by squeezing the throat of so as to cut off the air	0
1st	the act of liberating someone or something	0
130	a fertility drug (trade name Clomid) that is used to stimulate ovulation and that has been associated with multiple births	0
2	a skyscraper built in New York City in 1931; 1250 feet tall	0
23	the cardinal number that is the sum of twenty-two and one	1
22nd	(of a leaf shape) round, with the stem attached near the center of the lower surface rather than the margin (as a nasturtium leaf for example)	0
10-membered	someone who marks a trail by leaving blazes on trees	0
100	in spite of all obstacles	0
21	of an obscure nature; ; ; ; - Rachel Carson	0
19	a rule that when literal compliance is impossible the intention of a donor or testator should be carried out as nearly as possible	0
175th	an error of language resulting from code that does not conform to the syntax of the programming language	0
18th	any of numerous small insects whose larvae feed on fruits	0
18th	coming next after the seventeenth in position	1
100th	a variety of mandarin orange	0
165	any of numerous chiefly annual herbs of the genus Calendula widely cultivated for their yellow or orange flowers; often used for medicinal and culinary purposes	0
125	a device that prevents an automotive engine from starting	0
200	an international organization created in 1949 by the North Atlantic Treaty for purposes of collective security	0
130	a tumor consisting of a mass of blood or lymphatic vessels	0
115th	a member of a group of French painters who followed fauvism	0
18th	self-consciously timid; - Ezra Pound	0
175	a feeling of resentful anger	0
15	the cardinal number that is the sum of fourteen and one	1
165th	a river that rises in Pennsylvania and flows north into New York and then back south through Pennsylvania again to join the Monongahela River at Pittsburgh which is the beginning of the Ohio River	0
16th	coming next after the fifteenth in position	1
135	having long slender legs	0
15th	coagulation factor whose deficiency results in prolongation of clotting time of venous blood	0
18th	common perennial climber of temperate regions of Eurasia and North America having dense elongate clusters of flowers	0
13	any mammal with prominent tusks (especially an elephant or wild boar)	0
165th	the ordinal number of one hundred sixty-five in counting order	1
21	the cardinal number that is the sum of twenty and one	1
120	interlobular veins of the kidney; receive blood from the arcuate vein and empty into the renal veins	0
1000	a small amount (especially of a drink)	0
190	a white poisonous soluble crystalline sublimate of mercury; used as a pesticide or antiseptic or wood preservative	0
.45-caliber	a mill for grinding grain (especially the customer's own grain)	0
27	a large and stately mansion	0
12th	reason by deduction; establish by deduction	0
135	a nucleoside reverse transcriptase inhibitor that is very effective in combination with zidovudine in treating AIDS and HIV	0
2	amount spent for diagnosis or treatment or prevention of medical problems	0
115	being five more than one hundred ten	1
140	a saturated fatty acid occurring naturally in animal and vegetable fats	0
160	being ten more than one hundred fifty	1
24	a place within a region identified relative to a center or reference location	0
180th	the ordinal number of one hundred eighty in counting order	1
101st	an exclamation that urges individuals to seize the day with little concern of the future	0
28	the amount of tax owed; calculated by applying the tax rate to the tax base	0
22nd	a bluish-white lustrous metallic element; brittle at ordinary temperatures but malleable when heated; used in a wide variety of alloys and in galvanizing iron; it occurs naturally as zinc sulphide in zinc blende	0
24	the act of directing the eyes toward something and perceiving it visually	0
0	erect perennial of wet woodlands of North America having leaves and flower buds resembling those of soapwort	0
200	not agitated by stirring	0
1000th	the ordinal number of one thousand in counting order	1
15	Austrian who became the Nazi official who administered the concentration camps where millions of Jews were murdered during World War II (1906-1962)	0
110th	the ordinal number of one hundred ten in counting order	1
10-membered	of a chemical compound having a ring with ten members	1
23	tie with a tether	0
19	the cardinal number that is the sum of eighteen and one	1
130	being ten more than one hundred twenty	1
26	the cardinal number that is the sum of twenty-five and one	1
155th	a port city in northern Germany on the Elbe River that was founded by Charlemagne in the 9th century and is today the largest port in Germany; in 1241 it formed an alliance with Lubeck that became the basis for the Hanseatic League	0
23rd	reproduction of some multicellular organisms by division, as in the case of some starfish	0
170	a long arm of the Indian Ocean between northeast Africa and Arabia; linked to the Mediterranean at the north end by the Suez Canal	0
.22 caliber	the administrative agency of the Organization of American States	0
160th	with respect to denomination	0
19th	wine mixed with honey	0
17th	evergreen liana widely cultivated for its variegated foliage	0
.38 calibre	surpass someone in cruelty or evil	0
200th	(medicine) a grossly malformed and usually nonviable fetus	0
2	that which is contrary to the principles of justice or law	0
.38 calibre	of or relating to the bore of a gun (or its ammunition) that measures thirty-eight hundredths of an inch in diameter	1
135th	a large gathering of people	0
.38-caliber	arthritis that affects one or more of the intervertebral joints in the spine	0
11th	enter uninvited	0
11	a large smooth mass of rock detached from its place of origin	0
140	being ten more than one hundred thirty	1
150	a state in northwestern Germany	0
1st	indicating the beginning unit in a series	1
140th	the division of a business responsible for building and maintaining the physical plant	0
115th	a vast plain in Tanzania to the west of the Great Rift Valley known for its wildlife	0
14th	capital of the state of South Dakota; located in central South Dakota on the Missouri river	0
120	the cardinal number that is the product of ten and twelve	1
145th	the place at a fair or carnival where sideshows and similar amusements are located	0
.22 caliber	goat grass	0
.45-calibre	large cactus of east central Mexico having golden to pale yellow flowers and spines	0
2-dimensional	a meeting of peers for discussion and exchange of views	0
135th	the ordinal number of one hundred thirty-five in counting order	1
11th	a state in south central United States; one of the Confederate states during the American Civil War	0
.22 calibre	with strained or eager attention	0
12th	with respect to volume	0
28	evergreen tree of southern United States having large stiff glossy leaves and huge white sweet-smelling flowers	0
.22 calibre	any of various leafy plants or their leaves and stems eaten as vegetables	0
1000	growing from seed dispersed by natural agency such as wind or birds	0
17	the cardinal number that is the sum of sixteen and one	1
.38-caliber	in the American Civil War (1863) the Union armies of Hooker, Thomas, and Sherman under the command of Ulysses S. Grant won a decisive victory over the Confederate Army under Braxton Bragg	0
110	a political organization within the Democratic Party in New York City (late 1800's and early 1900's) seeking political control by corruption and bossism	0
125th	the ordinal number of one hundred twenty-five in counting order	1
200	being ten more than one hundred ninety	1
24th	an old order dating to early Eocene: bats: suborder Megachiroptera (fruit bats); suborder Microchiroptera (insectivorous bats)	0
23rd	dark-green to black glassy mineral of the pyroxene group containing large amounts of aluminum and iron and magnesium	0
105	a lightweight hat worn in tropical countries for protection from the sun	0
105	an interesting but highly implausible story; often told as an excuse	0
110	being ten more than one hundred	1
27th	thin sauce made of fermented soy beans	0
17th	coming next after the sixteenth in position	1
