model	mean	std
electra-small	4.455494390044154e-05	5.807091476856678e-05
electra-base	1.0801863258561337e-05	1.0626574576242152e-05
electra-large	9.354922456710044e-06	8.549861144378595e-06
bert-base	1.1170007226045191e-05	1.0067264239098369e-05
bert-large	1.0371529191213107e-05	9.141526900071279e-06
roberta-base	9.728883661667606e-06	9.334741513923239e-06
roberta-large	9.390267747135586e-06	8.710476376365565e-06
albert-base	8.74352910779837e-06	9.767702088749024e-06
albert-large	9.795278860687153e-06	1.2256328836639672e-05
